agency_cd,site_no,datetime,discharge_cfts,error_flag
USGS,15955000,6/23/2008,2840,A
USGS,15955000,6/24/2008,2830,A
USGS,15955000,6/25/2008,2930,A
USGS,15955000,6/26/2008,3140,A
USGS,15955000,6/27/2008,2970,A
USGS,15955000,6/28/2008,3070,A
USGS,15955000,6/29/2008,3200,A
USGS,15955000,6/30/2008,4150,A
USGS,15955000,7/1/2008,4480,A
USGS,15955000,7/2/2008,5960,A
USGS,15955000,7/3/2008,13200,A
USGS,15955000,7/4/2008,7070,A
USGS,15955000,7/5/2008,4270,A
USGS,15955000,7/6/2008,3270,A
USGS,15955000,7/7/2008,3050,A
USGS,15955000,7/8/2008,2970,A
USGS,15955000,7/9/2008,2980,A
USGS,15955000,7/10/2008,3150,A
USGS,15955000,7/11/2008,3010,A
USGS,15955000,7/12/2008,3400,A
USGS,15955000,7/13/2008,2840,A
USGS,15955000,7/14/2008,2480,A
USGS,15955000,7/15/2008,4090,A
USGS,15955000,7/16/2008,4720,A
USGS,15955000,7/17/2008,4350,A
USGS,15955000,7/18/2008,10600,A
USGS,15955000,7/19/2008,7350,A
USGS,15955000,7/20/2008,5900,A
USGS,15955000,7/21/2008,4210,A
USGS,15955000,7/22/2008,3410,A
USGS,15955000,7/23/2008,3770,A
USGS,15955000,7/24/2008,3850,A
USGS,15955000,7/25/2008,3100,A
USGS,15955000,7/26/2008,2610,A
USGS,15955000,7/27/2008,2230,A
USGS,15955000,7/28/2008,1990,A
USGS,15955000,7/29/2008,2070,A
USGS,15955000,7/30/2008,9070,A
USGS,15955000,7/31/2008,12700,A
USGS,15955000,8/1/2008,9050,A
USGS,15955000,8/2/2008,8200,A
USGS,15955000,8/3/2008,11700,A
USGS,15955000,8/4/2008,12800,A
USGS,15955000,8/5/2008,10900,A
USGS,15955000,8/6/2008,9000,A
USGS,15955000,8/7/2008,7640,A
USGS,15955000,8/8/2008,6390,A
USGS,15955000,8/9/2008,5520,A
USGS,15955000,8/10/2008,4810,A
USGS,15955000,8/11/2008,4370,A
USGS,15955000,8/12/2008,3910,A
USGS,15955000,8/13/2008,3620,A
USGS,15955000,8/14/2008,3440,A
USGS,15955000,8/15/2008,3230,A
USGS,15955000,8/16/2008,2940,A
USGS,15955000,8/17/2008,2720,A
USGS,15955000,8/18/2008,2550,A
USGS,15955000,8/19/2008,2370,A
USGS,15955000,8/20/2008,2150,A
USGS,15955000,8/21/2008,1960,A
USGS,15955000,8/22/2008,1870,A
USGS,15955000,8/23/2008,1730,A
USGS,15955000,8/24/2008,1600,A
USGS,15955000,8/25/2008,1510,A
USGS,15955000,8/26/2008,1460,A
USGS,15955000,8/27/2008,1390,A
USGS,15955000,8/28/2008,1340,A
USGS,15955000,8/29/2008,1270,A
USGS,15955000,8/30/2008,1220,A
USGS,15955000,8/31/2008,1180,A
